likes,views,engagement_pct,post_date,creator_handle,creator_name,followers,shop_video,video_url,caption
113,7702,1.47,2024-12-24,@thepunkrockhippyunicorn,Hippy Chick Farms,6112,YES,https://www.tiktok.com/@thepunkrockhippyunicorn/video/7451873256845479210,Started at 230 took a bit but now at 140- 90 pounds down 💕 #virgointherapy #weightlossjour
112,9028,1.24,2025-09-20,@mamamoorecreates,mamamoorecreates,6370,no,https://www.tiktok.com/@mamamoorecreates/video/7552159964953988382,"Primal Queen’s creatine Goddess Bites are ON SALE right now!! Run, don’t walk because it w"
112,15100,0.74,2026-01-16,@justbejewels,Jewels Maben 💎,400900,YES,https://www.tiktok.com/@justbejewels/video/7596062544322743566,@Primal Queen I have questions for you… many.. to be honest. Because- wow. #healthjourney 
109,1726,6.32,2026-07-10,@roswellalien,Danielle | Work & Life ❤️,5868,no,https://www.tiktok.com/@roswellalien/video/7660720692354223390,Supplements for women that other brands just completely miss! @Primal Queen  -link on my p
109,935,11.66,2026-06-02,@sheriecewebbcampb,Sheriece,100800,shop-other,https://www.tiktok.com/@sheriecewebbcampb/video/7646616079371930894,#primalqueen #creatine #womenscreatine #Summervibes #tiktokshopcreatorpicks @Primal Queen
108,26800,0.4,2025-08-16,@savannahxraeee,SAVANNUH,36100,YES,https://www.tiktok.com/@savannahxraeee/video/7539057809925737759,"I no longer dread my period cause of @Primal Queen✨ No more heavy bleeding for 5/6 days, c"
108,3313,3.26,2026-07-18,@gretch13,Gretchan Schoop❌,3030,no,https://www.tiktok.com/@gretch13/video/7663783131765296397,https://www.primalqueen.com/GRETCHAN42902 @Primal Queen  #hormonebalance #womenshealth #or
108,6162,1.75,2026-05-18,@drew.review1,Drew Review,162900,YES,https://www.tiktok.com/@drew.review1/video/7641022949645880589,How to take the primal queen marrow joint support supplement! #primalqueennewarrivals #pri
107,1107,9.67,2026-06-18,@sheriecewebbcampb,Sheriece,100800,YES,https://www.tiktok.com/@sheriecewebbcampb/video/7652542755956198670,#primalqueen #primalqueensupplements #beeforgans # #tiktokshopdealsforyoudays #tiktokshopc
106,6097,1.74,2025-02-19,@delmylaprofe,Delmy,733000,YES,https://www.tiktok.com/@delmylaprofe/video/7472945222415125806,Primal Queen vitamins. #primalqueen #primalqueensupplements #primalqueenresults
